idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8705,Porto comercial de Vigo,lugares,40,Ría de Vigo,Porto comercial,"Avenida de Guixar, s/n",36201,986268000,www.apvigo.com,Espazo loxístico destinado ao transporte e almacenamento de mercadorías por mar.,http://www.turismodevigo.org/sites/turismodevigo/files/lug349.jpg,42.2477364414765,-8.70888256040916,,gl-ES
8639,Monumento a los Galeones de Rande,lugares,39,Monumentos,Escultura,Monte do Castro,36203,,,"Obra do arquitecto Desiderio Pernas, é unha gran plataforma sobre a que están situadas tres áncoras de navíos afundidos na Batalla de Rande, librada na Ría de Vigo en 1702 entre a armada anglo-holandesa e unha frota  hispana e francesa.",http://www.turismodevigo.org/sites/turismodevigo/files/lug274.jpg,42.2334156413138,-8.726611864171218,http://www.turismodevigo.org/sites/turismodevigo/files/03-batalla_de_rande_galego_0.mp3,gl-ES
8402,MARCO. Museo de Arte Contemporánea de Vigo,lugares,38,Museos,Centro de arte contemporánea,"Príncipe, 54",36202,986113900,www.marcovigo.com,"MARCO non ten colección permanente e funciona como centro de arte contemporánea, cun programa de exposicións temporais e un conxunto de actividades paralelas das que o programa educativo é unha parte esencial.",http://www.turismodevigo.org/sites/turismodevigo/files/lug020.jpg,42.2359738934723,-8.721122108231498,http://www.turismodevigo.org/sites/turismodevigo/files/09-museo_de_arte_contemporanea_de_vigo_0.mp3,gl-ES
8688,Auditorio del Museo de Arte Contemporánea de Vigo (MARCO),lugares,37,Edificios singulares,Auditorio,"Príncipe, 54",36202,986113900,www.marcovigo.com,Espazo habilitado para a realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug325.jpg,42.2358593745221,-8.721064892983577,http://www.turismodevigo.org/sites/turismodevigo/files/09-museo_de_arte_contemporanea_de_vigo.mp3,gl-ES
8720,"Museo Municipal de Vigo ""Quiñones de León""",lugares,45,Paradas do bus turístico,Posible visita a pe,"Parque de Castrelos, s/n",36213,986291600,www.vitrasa.es,Parada fronte ao museo Quiñones de León.,http://www.turismodevigo.org/sites/turismodevigo/files/lug364.jpg,42.2143011493124,-8.727182229966047,http://www.turismodevigo.org/sites/turismodevigo/files/08-museo_quinones_de_leon_galego_0.mp3,gl-ES
8406,"Museo Municipal de Vigo ""Quiñones de León""",lugares,38,Museos,Arquitectura civil,"Parque de Castrelos, s/n",36213,986295070,www.museodevigo.org,"O museo municipal de Vigo íQuiñones de Leóní é unha institución, dependente do Concello de Vigo, encadrada, actualmente, en Cultura, Festas e Museos.",http://www.turismodevigo.org/sites/turismodevigo/files/lug024.jpg,42.2131763333631,-8.727810303803153,http://www.turismodevigo.org/sites/turismodevigo/files/08-museo_quinones_de_leon_galego.mp3,gl-ES
8433,Casa Enrique Mülder,lugares,37,Edificios singulares,Arquitectura civil,"Avda Montero Ríos, 22",36201,,,"É unha das obras con carácter máis modernista do arquitecto Gómez Román aínda que tamén presenta influencias eclécticas, vienesas e belgas.",http://www.turismodevigo.org/sites/turismodevigo/files/lug052.jpg,42.2402628825264,-8.722306001475545,http://www.turismodevigo.org/sites/turismodevigo/files/07-edificio_mulder_galego.mp3,gl-ES
8459,Colexiata de Santa María (Concatedral),lugares,37,Edificios singulares,Arquitectura relixiosa,Plaza de la Colegiata,36202,,,"Edificio relixioso de estilo Neoclásico de principios do século XIX, obra de Melchor de Prado. Actualmente é Concatedral da diocese de Tui-Vigo.",http://www.turismodevigo.org/sites/turismodevigo/files/lug078.jpg,42.2392728022593,-8.725825075030343,http://www.turismodevigo.org/sites/turismodevigo/files/06-concatedral_de_vigo_galego.mp3,gl-ES
8523,Cruceiro do adro da igrexa de Bembrive,lugares,37,Edificios singulares,Arquitectura relixiosa,"A Igrexa, s/n",36313,,,"No anverso ten a Cristo crucificado con tres cravos e atado, cunha caveira e dúas tibias cruzadas aos seus pés. No reverso ten á Piedade con gran volume de roupaxes e un cristo.",http://www.turismodevigo.org/sites/turismodevigo/files/lug148.jpg,42.2038285339502,-8.68691324300314,,gl-ES
8428,Casa de Pazos e Figueroa,lugares,37,Edificios singulares,Arquitectura civil,"Plaza de Almeida, 4",36202,,,"Palacete urbano situado no barrio histórico da cidade. Forma unidade arquitectónica coa Casa de Ceta; na actualidade, ambos os dous conforman a sede do Instituto Camôes de Cultura Portuguesa en Vigo. Data do século XVI.",http://www.turismodevigo.org/sites/turismodevigo/files/lug047.jpg,42.2391856088788,-8.726658277905358,http://www.turismodevigo.org/sites/turismodevigo/files/05-torre_e_casa_dos_pazos_de_figueroa.mp3,gl-ES
